propertyID,address,city,postalCode,roomCnt,bathCnt,category,description,sqFt,price,imgPath,,,,
1,8 Del Sol Point,Burnaby,R5A 8B6,2,2,Apartment,"Luxurious waterfront living at KAYAK in this stylish, 2 bdrm & den corner suite in the heart of Mount Pleasant! Open living w/9ft ceilings, floor-to-ceiling windows & quality finishings throughout. Spacious living rm adjoins delightful dining area & opens to your private, covered balcony. Gourmet kitchen features stone countertops, s/s applâ€™s, breakfast bar & ample cupboard space. Terrific master w/big closet space, 5 pc ensuite & connects to your bright & sunny solarium w/city & mountain views, ideal for a study or home office. Suite also has addâ€™l sizable bdrm & 3 pc bath. 1 parking, 1 storage locker. Pets & rentals allowed w/restrictions. Gold Medal Gym amenities incl. pool, fitness centre & rec rm. Prime location, close to parks, the Seawall, Olympic Village amenities, shops & cafes.",745,696476,1.jpg,,,,
2,013 Mesta Terrace,Surrey,N1C 3D9,1,4,Condos,"Good location, good layout, good price 1686 sqft spacious 2-year townhouse. 3 bedrooms 2.5 bathrooms and side by side parking space. Contemporary European style cabinet high-end appliances. 9' main floor ceiling, oak wood flooring. Near Oakridge Mall, Canada Line. Tisdal Park, Golf Course, Langara.",948,802196,2.jpg,,,,
3,38836 Express Terrace,North Vancouver,R5S 8Q6,4,4,Townhouse,"Settled in the heart of CEDAR COTTAGE, this home is greatly desired as it is located in the CHARLES DICKENS CATCHMENT. Open concept floor plan with bright windows and an electric fireplace. Modern kitchen with stainless steel appliances, quartz counters, under mount sinks & breakfast bar seating with peninsula counters. Master Bedroom with a private Ensuite & views of the north shore mountains. 2 additional bedrooms to suit all family needs. Walking distance to Sunnyside park, shops & short drive to downtown Vancouver.",1978,805666,3.jpg,,CITY,,CATEGORY
4,4 Dottie Court,New Westminister,V1S 0S3,2,3,Condos,"Got views? Got brick? Got style? Yes, yes, YES. Modern concrete construction meets old Vancouver style in the heart of Mt. Pleasant at the iconic 'Elements' building. Seriously cool 602sf 'loft style' (easy to add bedroom walls, quote available) TOP FLOOR home with gorgeous downtown and mountain views, skylights, fir floors, reclaimed brick, stand-alone gas fireplace, funky walk-through kitchen w/ skylight, office/den, granite counters, gas range, stainless appliances, perfect balcony for 2+bbq... BIG BONUS: TWO secure large lockers and TWO parking stalls. Bring your bikes and toys, this unique home can handle a 'geared up' lifestyle. Rentals under max, cats/dogs ok (max 2).",1523,1306992,4.jpg,,Burnaby,,Condos
5,6 Nova Avenue,North Vancouver,R4P 0G4,2,2,Condos,"Spectacular investment opportunity to own a 7105 sq ft lot in desirable Fraser View Vancouver with stunning panoramic views and a lane way access. Move in ready or build your dream home on this fabulous location. Close to schools, transit and in a great community. Home is available.",2444,507679,5.jpg,,Langley,,Duplex
6,6432 Pankratz Parkway,New Westminister,R7K 2Q9,2,3,Townhouse,"Outstanding views, renovations and 3 parking! This gorgeous 2 bed, 1, 263 sq ft apartment extensively renovated, entertainers dream w/an open kitchen w/breakfast bar, granite counters, S/S appliances, wine rack & work station. With coved ceilings, recessed lighting, stone surround feature wall centering the open dining area & amazing living room all tied together with rich, cherry hardwood flooring. Bathrooms extensively renovated with luxury fixtures; ensuite complete w/double wide shower & deep bathtub. A beautiful gas fireplace, built in speakers & second bedroom open to the living room (could be closed). Two balconies with stunning views - the 888 Beach Complex, concierge, pool & steps to the seawall. Open Sat/Sun, 1-3pm.",2465,1719267,6.jpg,,North Vancouver,,House
7,9370 American Way,Richmond,R6E 7V3,3,4,Condos,"Fabulous floorplan at esteemed UBC! 9' ceilings compliment an open main level that has new hardwood floors. Cozy up to the electric f/p or enjoy the breakfast bar in the large open kitchen w/gas range. A den, powder rm and big balcony complete this floor. Upstairs youâ€™ll find the master with WIC & ensuite bath with separate shower & tub. 2nd bedroom, also with ensuite opens to a lovely roof deck. Gas BBQ hookups, insuite laundry, storage locker & 2 parking make this a smart space to nest just steps from world class amenities in a vibrant community. Think of the possibilities-Museum of Anthropology, Botanical Gardens, Pacific Spirit Park, UBC Golf Club, Thunderbird Stadium, transit, eateries, UBC Hospital, prestigious schools & some of the cityâ€™s best beaches!",2445,1360726,7.jpg,,Richmond,,Apartment
8,90588 Springview Center,New Westminister,R8Y 7J1,3,2,Townhouse,"Stunning North of 4th location, sunny South facing exposure, in-suite laundry and a rainscreened building... This charming Kitsilano one bedroom home checks all the boxes! Open kitchen with lots of cupboard space. Bright living/dining area is highlighted with bay windows and upgraded laminate floors. Spacious bedroom with large closet. Plenty of in-suite storage plus an external locker. Secure underground parking. One dog or cat welcome. 4 rentals permitted (currently at max). Well run building with recent re-piping and updated common areas. Open House Sat/Sun July 16/17 from 1-3pm.",655,740124,8.jpg,,Vancouver,,Townhouse
9,63286 Holmberg Circle,Richmond,L4G 7V3,4,3,Townhouse,"Step inside this bright open 2 bedroom 1 bath home in sought after OnQue. This contemporary building is located in an established neighborhood at the intersection of Quebec and Broadway Street in the Mount Pleasant area offering great amenities nearby. The home offers walnut laminate flooring, stainless steel appliances, contemporary white kitchen cabinets with black quartz countertops and in suite laundry. The open living space is perfect for entertaining with the kitchen, dining and living room areas flowing together giving a spacious feel and offers a deck located off the living room to take in the outdoors and BBQ. The building offers a south facing rooftop deck, one underground parking space and storage. OPEN HOUSE SAT JULY 23 & SUN JULY 24 2PM - 4PM.",1351,1117918,9.jpg,,Surrey,,
10,2 Forest Street,Vancouver,R3T 6Q0,1,4,Apartment,"Dunbar character home in need of restoration on a south exposed 33' x 122' lot with RS-5 zoning. Enjoy the distant view of the city. Walking distance to all levels of schools, parks, shopping and bus transportation. Quick access to UBC and downtown. All measurements are approximate & should be verified by Buyer.",1054,572140,10.jpg,,New Westminister,,
11,413 Gina Trail,Surrey,R8A 6Q0,2,1,House,"Retreat to your sanctuary in this wonderfully maintained 3 bdrm & den, 2 level family home w/basement set amidst beautifully landscaped gardens in prime Marpole locale! Spacious living rm features vaulted ceilings, wood f/p & adjoins delightful dining rm that overlooks your lush gardens. Bright kitchen offers great applâ€™s & ample cupboard space. Main also has good-sized den w/French doors to a private, south-facing sundeck. Large master bdrm up overlooks living area below + has shared powder rm w/sizable 2nd bdrm. Lower level: living rm w/wood f/p, full kitchen, spacious bdrm, sep. laundry & access to your sunny backyard & gardens + custom-built workshop. Single car carport w/lane access. Close to great schools, parks, Marine Gateway & amenities along Cambie St & Granville St.",1146,687835,11.jpg,,,,
12,38 Kropf Alley,Richmond,S1D 3L6,1,2,Duplex,"Spectacular Westcoast Southlands Executive home - This incredible property boasts a 65.96 x 165.01 RS-1 lot with 3048 sqft of living space all on the main floor. The ideal home for one level living, entertaining and enjoying the world class Southlands lifestyle close to Kerrisdale shopping, golf courses, UBC & private schools. This home has been impeccably renovated, maintained and ready to move in to enjoy. The main floor features ample glass and oak hardwood to accentuate the contemporary yet traditional feel. Enter the formal foyer and the home spreads out into a spacious living w/fireplace, dining room, kitchen and entertainment balcony overlooking the sunny south facing front yard. This home also features an incredibly private backyard with a pool and lots of entertainment space.",1931,1609800,12.jpg,,,,
13,99 Douglas Ave,New Westminister,R2G 5E8,3,1,Condos,"The Seagate on 4th. This 2 bedroom, 1 bathroom garden suite is located on the quiet side of an outstanding fully rainscreened building with an oasis outlook over your very private patio and garden. The home has been well cared for and features a thoughtful open plan with windows on the North and South sides. Updates include fresh paint throughout and new appliances. Ample insuite storage as well as one secured underground parking spot and locker. Pets welcome! First showings at the Sneak Peek Thursday July 14th 5-6pm, Open Houses Sat July 16th from 3-4pm and Sun July 17th 12-1pm.",2222,1156107,13.jpg,,,,
14,74936 Service Junction,Langley,L1C 2T6,1,4,Townhouse,"Welcome to Aqua at the Park by Concord. Ocean and sunset views to English Bay. Great open layout with floor ceiling windows, open balcony, large bedrooms, huge insuite storage plus storage locker. Freshly painted and new laminate flooring, move in condition! Kitchen with gas cooking, granite counters, open formal dining area. Super club facilities include gym, squash court, indoor pool, hot tub, sauna/steam room, guest suite, party room, theatre room and 24hour concierge. Seawall at your doorstep, minutes to Yaletown shopping, restaurants, and the Canada Line. Perfect location for an investment, rentals allowed and pet friendly. First showing, Open Friday 10:30-12pm July 15. Open Saturday and Sunday 12-2pm July 16 and 17.",1259,1797047,14.jpg,,,,
15,29 Lighthouse Bay Point,Langley,S9U 8H2,1,3,Townhouse,"You have been looking for a nice newer house on a corner lot, and here it is! Beautiful home on south facing corner lot open to the east with ample natural sunlight. The home is warm and inviting! Open floor plan with high ceilings, walnut hardwood floors, high end stainless steel appliances including Sub-Zero, Viking, Jenn-Air & Broan. Vaulted ceiling in Master Bedroom, large walk-in closet, private balcony and spa-like ensuite bathroom with steam /rain shower and jetted tub. Roof-top deck with Northshore mountain view. One block to Carnavan Elementary school/park, bus stop, short stroll to Kitslano Secondary School, community center. Fully landscaped and private back yard with in-ground sprinklers! Open house July 16, 17, 2-4pm.",624,860839,15.jpg,,,,
16,827 Mesta Court,Langley,S0A 6A5,4,2,Duplex,"Nicely updated West facing unit overlooking beautiful tree lined street. This 1 bdrm is move in ready with Oak like floors, newly updated kitchen with stainless appliances and counter. 1 car parking & 1 storage. Located in a well managed & maintained problem-free building, new windows, painted ext/int, fencing, plumbing, elevator, laundry. Newly renovated outdoor pool with secure fenced, recreation area. Close to transit (Canada Line), New Marpole shopping, Cambie corridor & easy to get downtown. 1 dog or 1 cat allowed. Heat included in the maintenance. Open Thu July 14 5-6PM and Sat July 16th 3-5PM",897,599818,16.jpg,,,,
17,6 Forest Dale Lane,Burnaby,R8K 8R0,4,1,House,"Location! Great location in quiet Quilchena next to Shaughnessy, with walking distance to Point Grey Secondary, Quilchena Elementary and Kerrisdale shopping! A well thought out floor plan with central entry, large living room and den and lovely open kitchen with custom cabinetry. French doors take you to a private South facing patio garden, maintained to perfection. Four bedrooms up including Master en-suite with walk in dressing area and luxurious en-suite. The lower level is completely finished. An excellent family home to raise kids! A must see! Pleasure to show. Public Open: SAT/SUN July 16/17 2-4pm.",2157,643711,17.jpg,,,,
18,6 Drewry Trail,Richmond,N8H 3F2,2,2,House,"Well cared for 625 sq ft 1 bedroom, solarium, balcony and large in-suite storage are ready for your personal touches ! Club Ozone for your recreation is at your doorstep, gym, indoor pool, hot tub, lounge and more. Superb location and walking distance to Costco, Library, Theaters, Skytrain, Arenas, Restaurant and all the great things the downtown core offers. Urban & False Creek Views, S/W facing, 1 parking super close to elevator. A great package that is empty, clean and ready to occupy. OPEN HOUSE FRIDAY JULY 15th 10:30am to 12noon & SATURDAY JULY 16th 2-4pm.",1702,1592643,18.jpg,,,,
19,599 School Street,Langley,R0D 5K8,1,2,Apartment,"This beautiful 1,226 sf coach home is everything you have ever dreamed of! Offering the charm and comfort of a detached home this 3 bedroom, 3 bath masterpiece of real estate features prestigious open concept living including hardwood floors, heated tiles and chefs kitchen w/ SS appliances & huge kitchen island to cook and entertain. Relax on 2 spacious patios or invite your friends over for a summer BBQ; turn the attached heated garage into a men cave or use it conveniently for your vehicle & storage. With 3 bedrooms (2 up, 1 down) this home is perfect to start a family or home office. Bonus: No strata fees. Situated close to Glen Park, schools, restaurants & shopping this gem is truly a must see! ***SNEAK PEAK, THURSDAY JULY 14, 5-7PM, OPEN HOUSE, SAT & SUN, JULY 16 &17, 2-4PM*",1456,1214527,19.jpg,,,,
20,72 Moose Parkway,Burnaby,L5E 1V3,4,2,Condos,"Waterfront living at it's best at the Crestmark I building in Yaletown. Nearly 1100 sq ft of open living space with beautiful SE views of False Creek Marina. The chef's kitchen offers new stainless steel appliances, granite countertops, shaker cabinets, a large pantry & opens to the spacious living & dining room featuring beautiful walnut floors. There are 2 large bedrooms, ample closet space & 2 full baths. The building is fully serviced with a concierge, indoor pool, hot tub, steam room, sauna and gym not to mention that the Crestmark is in the most premier location in Yaletown, with the Seawall and Marina only steps away, minutes to Urban Fare & the RAV line & blocks to an endless choice of restaurants, cafes & shopping.",840,965480,20.jpg,,,,
21,2545 Brentwood Park,Burnaby,N5I 6K6,3,3,Townhouse,Beautiful Laneway house (Infill) property with it's own PID/legal. Appliances included. $0 Strata fee. 2 bedrooms 2.5 baths. All sizes and ages are approx. only. The Buyer should not rely upon the listing information without the Buyer independently verifying the information. Open house Sat & Sun 2-4pm.,1598,873081,21.jpg,,,,
22,454 Stone Corner Court,Burnaby,R4M 5B9,3,3,Townhouse,"Nicely renovated 4 bedroom and 3.5 bathroom family home with over 3500 square feet of living area in desirable Kitsilano. Situated on a 50 x 125 foot south facing lot this home offers tremendous light throughout. The main floor with hardwood floors offers formal living & dining rooms, gourmet kitchen with attached eating area and family room. The french doors off the dining room open onto the private deck and back yard. 3 bedrooms, 2 full bathrooms and a laundry on upper level. Fully developed basement completes the house, along with a beautifully landscaped property. Many updates including windows, bathrooms, roof, etc. Walking distance to Kitsilano Secondary, recreation & shopping.",2336,881038,22.jpg,,,,
23,913 5th Drive,Surrey,L5T 8G9,3,3,Apartment,"HOT LOCATION!! Water & city view. Overlooking Coal Harbour, city night view, & the marina. In the heart of Downtown Van just minutes away to Vancouver's BEST SHOPPING and BEST Restaurants. Steps away from the TRUMP Tower & Shangri-la. Featuring guest parking, 24 hour concierge, pool, jacuzzi, and gym. Floor to ceiling windows, ideal for INVESTORS &/or bring your RENOVATING ideas. Walking distance to Burrard Station. HURRY! Offers on July 18.",960,730050,23.jpg,,,,
24,201 Hazel Street,Burnaby,R2S 8B4,2,1,House,"Amazing stunning wraparound 180 degrees VIEWS VIEWS VIEWS from English Bay & NS Mountains to Stanley Park and Marina. Enjoy different stunning view in each seasons. Ocean & mtn view master w spa like 5pc Ensuite w steam shower & soaker tub. High quality concrete building with 24hr concierge,swimming pool, hot tub and lounge bar. Dream home featuring marble tile floors, gourmet island kitchen w/granite counters &high-end appliance pkg. Gas FP w custom surround & hearth + 2 large balconies. Steps to Stanley Park, West End Shops, restaurants & Transit. 2 large side by side parking stalls. A secluded serene location combining the best of Coal Harbour in the West End.",1754,772108,24.jpg,,,,
25,09464 Dennis Court,North Vancouver,R0G 8D9,2,1,Condos,"Spacious light-filled corner PENTHOUSE. This 2 bedroom & bath w/ 9 ft ceilings has a large wrap deck w/ good Mtn view! Completely renovated top to bottom! New open kitchen w/ shaker cabs, St/Steel appl, quartz counters, soft close drawers & cabs, etc. Dining Room for 8 & new tile/mantled gas f/place in living rm. New lighting, crown mouldings & hardwd flrs thru out. All new closet drs & all w/ custom built-ins. Gorgeous spa bathroom w/ rainshower/soaker tub & heated flrs. Master holds King bed & 2nd bedroom can too. Tons of storage & new laundry! Add 1 prkg, a lckr & pets OK in a well maintained bldg w/ dep report that is on a quiet treed street, 1 blk to trendy W 4th or 5 min walk to the beach!! You won't be disappointed! 1st showing Sunday 17th OPEN 2-4pm.",1630,835070,25.jpg,,,,
26,232 Warner Circle,Langley,R9I 6P4,3,1,Condos,"Waterfront living at it's best at the Crestmark I building in Yaletown. Nearly 1100 sq ft of open living space with beautiful SE views of False Creek Marina. The chef's kitchen offers new stainless steel appliances, granite countertops, shaker cabinets, a large pantry & opens to the spacious living & dining room featuring beautiful walnut floors. There are 2 large bedrooms, ample closet space & 2 full baths. The building is fully serviced with a concierge, indoor pool, hot tub, steam room, sauna and gym not to mention that the Crestmark is in the most premier location in Yaletown, with the Seawall and Marina only steps away, minutes to Urban Fare & the RAV line & blocks to an endless choice of restaurants, cafes & shopping.",1836,1727340,26.jpg,,,,
27,189 Claremont Road,North Vancouver,R5O 4Y8,1,4,House,Beautiful Laneway house (Infill) property with it's own PID/legal. Appliances included. $0 Strata fee. 2 bedrooms 2.5 baths. All sizes and ages are approx. only. The Buyer should not rely upon the listing information without the Buyer independently verifying the information. Open house Sat & Sun 2-4pm.,898,954964,27.jpg,,,,
28,28100 Fremont Point,Burnaby,L6V 1N9,4,3,House,"Half Duplex has 3 bedrooms above and 1 in the basement along with a media room and wet bar. 1 covered parking space. Quiet street with mountain view. Close to park, school and all amenities. Appliances included. All sizes and ages are approx. only. The Buyer should not rely upon the listing information without the Buyer independently verifying the information. Open House Sat & Sun 2-4pm",683,2683234,28.jpg,,,,
29,957 Bashford Crossing,Surrey,L2C 4M0,1,1,Duplex,"Beautifully updated 1 bedroom + den + balcony with exciting city and False Creek views at the MAX I in popular Yaletown. Floor to ceiling windows fill the suite with natural light and enhance the spaciousness of this fantastic open floor plan. Features kitchen and bath quartz counters, new paint and flooring, plus clever storage solutions throughout. World class amenities including 65’ pool, steam/sauna, hot tub, exercise centre, theatre, social lounge, meeting room & garden courtyard. When Yaletown is your neighbourhood, you’ll enjoy the trendiest of Vancouver’s dining, boutique shopping, entertainment and recreation. Short walk to Skytrain, Seawall and Robson Street. Excellent Revenue property opportunity. Sneak peek Thrs Jul 14, 6-7PM. Open Sat/Sun Jul 16/17, 2-4PM.",2221,2172844,29.jpg,,,,
30,30 6th Alley,Richmond,S5W 1B4,2,3,Townhouse,"THE MAX – the ultimate urban lifestyle in a fantastic, well managed strata. Very functional and open floorplan includes 1 bedroom w/ample closet space, 1 bathroom & den – the perfect office or storage space. Enjoy being a higher floor w/views of the city and marina from living room, master bedroom & balcony. Gas cooktop, engineered maple hardwood flooring, LG & Whirlpool appliances, large windows for added light. Excellent amenities: gym, indoor pool, sauna/steam rooms. Prime Yaletown location, just steps to seawall, shops, restaurants, parks, Canada Line & Aquabus. Investors: Turnkey investment property that will benefit from new developments in & around BC Place. Open house Wed July 13th 530-7pm & Sat/Sun, July 16th/17th 2-4pm.",2147,3589978,30.jpg,,,,
31,8 Fordem Trail,Burnaby,R7A 0L2,1,4,Condos,"You will want to live here! This large and PERFECTLY LAID OUT 2 bedroom 2 bathroom condo has it all. Fabulous CONCRETE CONSTRUCTION - Tenali on Tenth is ideally located in the heart of Kitsilano, adjacent to popular Arbutus Walk. This super bright, modern, and stylish condo boasts a spacious OPEN FLOOR PLAN, gorgeous engineered maple hardwood floors, plenty of light, ample in-suite storage (or den), walk-in closet, and bedrooms on opposite sides of the unit for maximum privacy! Live the Kitsilano lifestyle and walk to transit, shopping, coffee, restaurants, yoga, and even the beach!",1267,3131782,31.jpg,,,,
32,8049 Iowa Way,Vancouver,L2K 2J6,2,3,House,"Spectacular VIEWS to English Bay and Granville Island from this spacious, 2 bedroom and 2 bath, air-conditioned home in the prestigious POMARIA. This coveted, SW corner suite offers a true sense of space with its open-plan layout, balcony, floor to ceiling windows and completely separated bedrooms. Designer touches abound, including sleek white glass feature walls, elegant white linen drapery, electric blinds and custom built-ins. Set in a fabulous location just steps from the Seawall, Aquabus and the exciting new Vancouver House development, soon to be a shopping, art and entertainment hub for the area. This gorgeous no-compromise home will not disappoint! 2 side/side parking on P1, locker, pets welcome, rentals ok (6 mo. min). Open Sat&Sun July 16 & 17, 2-4PM or call for an appointment.",1347,384369,32.jpg,,,,
33,8113 Hanover Alley,Surrey,R3V 7M4,4,3,Apartment,"WELCOME to this completely renovated 2-level 1,155 Sq. Ft. finished and 170 Sq. Ft. exposed concrete townhome in Yaletown Ltd! This 2 bedroom 2 bathroom home has been extensively renovated with an urban feel. From engineered hardwood floors throughout, glass tile backsplashes, quartz countertops, chef-worthy appliances, large patio and floor-to-ceiling windows - this home has a bright and airy open concept feel right in the heart of Yaletown. Private two-car garage accessible right from your home with extra storage, and a building with amenities that include: pool/sauna/steam room, fitness center, squash, 24/7 concierge and more. This home won't last long. Call today! OPEN HOUSE SAT JULY 16 & SUN JULY 17 2:00PM - 4:00PM.",1175,478008,33.jpg,,,,
34,22 Anzinger Terrace,Surrey,R3B 4R6,4,3,Condos,"Kitsilano 3 bedroom character home with legal revenue suite to help reduce those mortgage payments by $1500/month. Tastefully updated - kitchen, bathrooms, flooring, etc. Newer appliances. Cozy front porch facing tree lined street, large deck off kitchen leading out to private backyard with mountain views. Walking distance to all levels of schools, parks, shopping and bus transportation. Just minutes to UBC and downtown.",956,1908398,34.jpg,,,,
35,86743 Ronald Regan Center,New Westminister,R0N 2F3,2,4,Apartment,"Tasteful & versatile, 4 bdrm & den, 3 level ½ duplex w/terrific outdoor living in prime Kitsilano locale! Main boasts spacious living & dining rms w/oak flrs, vaulted ceilings w/skylight, gas f/p + access to your sunny, west-facing balcony. Delightful kitchen features granite counters, breakfast bar & s/s appl’s. Main also has large bdrm w/north-facing balcony, 4 pc bath, open den w/built-in bookshelves & access to top level. Exclusive master bdrm up offers vaulted ceilings w/skylight, privacy windows overlooking your living space & 3 pc ensuite. Lower level: self-contained suite w/2 bdrms, inste laundry, gas f/p & sep entry to a west-facing patio & sundeck. Easily revertible for main level access. Convenient location, close to great schools & all amenities along Arbutus St & W Broadway.",1875,2863310,35.jpg,,,,
36,03 Manitowish Place,Langley,R8W 6X2,1,2,Townhouse,"Conveniently located between Main and Fraser this home features 6 bedrooms and 3 baths. It's located in a quiet and central location with a VIEW of the MOUNTAINS! It's got BRAND NEW KITCHEN upstairs and downstairs with quartz countertops and stainless steal appliances. Includes double glazed windows and hardwood flooring. New furnace and hot water tank in 2012 too! Very close to transit, parks, shopping, restaurants and the Queen Elizabeth Park Golf Course. School catchment area is General Brock Elementary and John Oliver Secondary. Enjoy this Vancouver special, bikers paradise and convenient lifestyle! Call today to see this home for yourself!",657,2692895,36.jpg,,,,
37,973 Petterle Pass,Langley,R2B 3I2,4,4,Townhouse,"This almost BRAND NEW residence located just steps to Memorial South Park & mins to shopping, restaurants, schools & transit. This spacious 3 level 1933 sf home includes a master suite on the top level with sundeck boasting views of the North Shore mountains, large living room with cozy gas fireplace & bright kitchen with maple cabinets & granite countertops, plus 2 bedrooms & full bath on the main level.Also 2 full separate accomodations below both with seperate entrances !! This lovely home also comes with heat-recovery ventilation system, low-energy water tank, security system, double garage and the remainder of 2-5-10 warranty !! HURRY ON THIS ONE - A REAL MONEY MAKER !!",2429,656603,37.jpg,,,,
38,99 Bashford Terrace,Vancouver,R3S 6O2,3,3,Duplex,"Gorgeous South facing English Bay views at the prestigious Alexandra Park. This unique 2 story condo has been luxuriously renovated, with careful attention to all the details. Views from every room, 18' vaulted ceilings, deep soaker tub for two with views of English Bay and the Northshore mountains, chefs kitchen with induction oven, gas fireplace, maple walnut hardwood flooring. Watch the beautiful sunsets from your large patio. Concrete building, fully rainscreened and only 25 units in the strata. 1 block from Davie Street restaurants, 1 block to the beach. 2 side by side parking stalls, storage locker, storage shed, bike rack. Please call for appointment.",884,3859716,38.jpg,,,,
